strategy,rsi_period,sma_period,rsi_buy,rsi_sell,capital_final,total_return,sharpe_ratio,max_drawdown,timestamp
rsi_sma,10,20,40,60,9720.19,-2.8,-0.81,-2.96,2025-06-24T10:19:26.348031
rsi_sma,10,20,40,65,9679.74,-3.2,-0.89,-3.37,2025-06-24T10:19:26.411380
rsi_sma,10,20,40,70,9919.69,-0.8,-0.66,-0.97,2025-06-24T10:19:26.474902
rsi_sma,10,20,35,60,10017.18,0.17,0.47,-0.08,2025-06-24T10:19:26.538184
rsi_sma,10,20,35,65,10017.18,0.17,0.47,-0.08,2025-06-24T10:19:26.601714
rsi_sma,10,20,35,70,10017.18,0.17,0.47,-0.08,2025-06-24T10:19:26.665093
rsi_sma,10,20,30,60,9581.33,-4.19,-0.72,-4.19,2025-06-24T10:19:26.728209
rsi_sma,10,20,30,65,9581.33,-4.19,-0.72,-4.19,2025-06-24T10:19:26.791300
rsi_sma,10,20,30,70,9581.33,-4.19,-0.72,-4.19,2025-06-24T10:19:26.854418
rsi_sma,10,30,40,60,9887.98,-1.12,-0.86,-1.29,2025-06-24T10:19:26.917683
rsi_sma,10,30,40,65,9887.98,-1.12,-0.86,-1.29,2025-06-24T10:19:26.980686
rsi_sma,10,30,40,70,9887.98,-1.12,-0.86,-1.29,2025-06-24T10:19:27.043760
rsi_sma,10,30,35,60,10017.18,0.17,0.47,-0.08,2025-06-24T10:19:27.106919
rsi_sma,10,30,35,65,10017.18,0.17,0.47,-0.08,2025-06-24T10:19:27.170310
rsi_sma,10,30,35,70,10017.18,0.17,0.47,-0.08,2025-06-24T10:19:27.233509
rsi_sma,10,30,30,60,9581.33,-4.19,-0.72,-4.19,2025-06-24T10:19:27.296785
rsi_sma,10,30,30,65,9581.33,-4.19,-0.72,-4.19,2025-06-24T10:19:27.361165
rsi_sma,10,30,30,70,9581.33,-4.19,-0.72,-4.19,2025-06-24T10:19:27.424779
rsi_sma,14,10,40,60,9644.38,-3.56,-0.42,-5.41,2025-06-24T10:19:27.488237
rsi_sma,14,10,40,65,9556.94,-4.43,-0.51,-6.27,2025-06-24T10:19:27.551625
rsi_sma,14,10,40,70,9738.62,-2.61,-0.31,-6.04,2025-06-24T10:19:27.615061
rsi_sma,14,10,35,60,9890.47,-1.1,-0.24,-2.79,2025-06-24T10:19:27.678317
rsi_sma,14,10,35,65,9691.15,-3.09,-0.58,-4.74,2025-06-24T10:19:27.741701
rsi_sma,14,10,35,70,10240.0,2.4,0.24,-4.23,2025-06-24T10:19:27.805022
rsi_sma,14,10,30,60,10165.2,1.65,0.64,-0.24,2025-06-24T10:19:27.868228
rsi_sma,14,10,30,65,9960.35,-0.4,-0.09,-2.25,2025-06-24T10:19:27.931322
