strategy,rsi_period,sma_period,rsi_buy,rsi_sell,capital_final,total_return,sharpe_ratio,max_drawdown,timestamp
rsi_sma,10,20,40,60,10452.01,4.52,7.35,-0.08,2025-07-04T09:40:04.272970
rsi_sma,10,20,40,65,9998.17,-0.02,-0.03,-1.05,2025-07-04T09:40:04.320025
rsi_sma,10,20,40,70,10007.6,0.08,1.81,-0.08,2025-07-04T09:40:04.367113
rsi_sma,10,20,35,60,9942.08,-0.58,-6.73,-0.58,2025-07-04T09:40:04.415384
rsi_sma,10,20,35,65,9942.08,-0.58,-6.73,-0.58,2025-07-04T09:40:04.462789
rsi_sma,10,20,35,70,9853.88,-1.46,-6.23,-1.46,2025-07-04T09:40:04.510165
rsi_sma,10,20,30,60,10000.0,0.0,0.0,0.0,2025-07-04T09:40:04.557524
rsi_sma,10,20,30,65,10000.0,0.0,0.0,0.0,2025-07-04T09:40:04.604911
rsi_sma,10,20,30,70,10000.0,0.0,0.0,0.0,2025-07-04T09:40:04.652573
rsi_sma,10,30,40,60,10202.82,2.03,5.58,-0.57,2025-07-04T09:40:04.700650
rsi_sma,10,30,40,65,10149.61,1.5,4.8,-0.56,2025-07-04T09:40:04.748120
rsi_sma,10,30,40,70,10068.38,0.68,4.82,-0.08,2025-07-04T09:40:04.795290
rsi_sma,10,30,35,60,9988.91,-0.11,-0.29,-1.76,2025-07-04T09:40:04.843045
rsi_sma,10,30,35,65,9920.78,-0.79,-8.27,-0.93,2025-07-04T09:40:04.890305
rsi_sma,10,30,35,70,9867.27,-1.33,-6.65,-1.33,2025-07-04T09:40:04.937482
rsi_sma,10,30,30,60,10004.16,0.04,0.18,-1.69,2025-07-04T09:40:04.984892
rsi_sma,10,30,30,65,9831.57,-1.68,-9.43,-1.68,2025-07-04T09:40:05.032347
rsi_sma,10,30,30,70,9837.05,-1.63,-6.5,-1.63,2025-07-04T09:40:05.079797
rsi_sma,14,10,40,60,10074.71,0.75,1.95,-1.29,2025-07-04T09:40:05.127410
rsi_sma,14,10,40,65,10332.84,3.33,7.03,-0.89,2025-07-04T09:40:05.174969
