strategy,rsi_period,sma_period,rsi_buy,rsi_sell,capital_final,total_return,sharpe_ratio,max_drawdown,timestamp
rsi_sma,5,10,40,60,10108.49,1.08,4.44,-1.29,2025-07-04T09:31:00.257929
rsi_sma,5,10,40,65,10146.06,1.46,6.31,-0.8,2025-07-04T09:31:00.318082
rsi_sma,5,10,40,70,10191.69,1.92,5.78,-0.97,2025-07-04T09:31:00.368783
rsi_sma,5,10,35,60,10133.18,1.33,5.56,-0.95,2025-07-04T09:31:00.418342
rsi_sma,5,10,35,65,10170.84,1.71,7.12,-0.94,2025-07-04T09:31:00.466817
rsi_sma,5,10,35,70,10181.5,1.82,5.47,-1.1,2025-07-04T09:31:00.518352
rsi_sma,5,10,30,60,9877.57,-1.22,-16.21,-1.51,2025-07-04T09:31:00.570836
rsi_sma,5,10,30,65,9952.19,-0.48,-5.4,-1.11,2025-07-04T09:31:00.618322
rsi_sma,5,10,30,70,9940.68,-0.59,-9.34,-0.77,2025-07-04T09:31:00.665414
rsi_sma,5,15,40,60,10038.52,0.39,1.33,-1.4,2025-07-04T09:31:00.713032
rsi_sma,5,15,40,65,10019.8,0.2,0.78,-1.55,2025-07-04T09:31:00.760486
rsi_sma,5,15,40,70,10100.58,1.01,3.49,-1.43,2025-07-04T09:31:00.807712
rsi_sma,5,15,35,60,10017.67,0.18,0.71,-1.47,2025-07-04T09:31:00.855399
rsi_sma,5,15,35,65,9998.99,-0.01,0.13,-1.62,2025-07-04T09:31:00.903287
rsi_sma,5,15,35,70,10076.19,0.76,2.71,-1.51,2025-07-04T09:31:00.950775
rsi_sma,5,15,30,60,9993.17,-0.07,-0.2,-1.14,2025-07-04T09:31:00.997859
rsi_sma,5,15,30,65,9974.53,-0.25,-1.11,-1.09,2025-07-04T09:31:01.044897
rsi_sma,5,15,30,70,10007.47,0.07,0.5,-1.31,2025-07-04T09:31:01.092251
rsi_sma,5,20,40,60,9700.15,-3.0,-15.54,-3.0,2025-07-04T09:31:01.141575
rsi_sma,5,20,40,65,9680.48,-3.2,-16.3,-3.2,2025-07-04T09:31:01.197693
rsi_sma,5,20,40,70,9778.44,-2.22,-10.51,-2.22,2025-07-04T09:31:01.248216
rsi_sma,5,20,35,60,9697.46,-3.03,-16.09,-3.03,2025-07-04T09:31:01.298485
rsi_sma,5,20,35,65,9680.36,-3.2,-16.75,-3.2,2025-07-04T09:31:01.349155
rsi_sma,5,20,35,70,9794.99,-2.05,-10.14,-2.11,2025-07-04T09:31:01.420090
rsi_sma,5,20,30,60,9763.44,-2.37,-12.26,-2.37,2025-07-04T09:31:01.488804
rsi_sma,5,20,30,65,9746.23,-2.54,-12.93,-2.54,2025-07-04T09:31:01.539298
rsi_sma,5,20,30,70,9832.08,-1.68,-8.24,-2.14,2025-07-04T09:31:01.588043
rsi_sma,5,30,40,60,9817.21,-1.83,-10.09,-1.87,2025-07-04T09:31:01.637834
rsi_sma,5,30,40,65,9771.02,-2.29,-12.38,-2.33,2025-07-04T09:31:01.685406
rsi_sma,5,30,40,70,9790.59,-2.09,-11.01,-2.15,2025-07-04T09:31:01.742537
rsi_sma,5,30,35,60,9835.79,-1.64,-9.17,-1.76,2025-07-04T09:31:01.790755
rsi_sma,5,30,35,65,9789.51,-2.1,-11.52,-2.22,2025-07-04T09:31:01.844019
rsi_sma,5,30,35,70,9809.12,-1.91,-10.18,-2.04,2025-07-04T09:31:01.896090
rsi_sma,5,30,30,60,9767.44,-2.33,-21.52,-2.44,2025-07-04T09:31:01.946580
rsi_sma,5,30,30,65,9713.48,-2.87,-24.3,-2.98,2025-07-04T09:31:01.994139
rsi_sma,5,30,30,70,9732.93,-2.67,-21.79,-2.79,2025-07-04T09:31:02.048093
rsi_sma,10,10,40,60,9701.62,-2.98,-18.2,-2.98,2025-07-04T09:31:02.096021
rsi_sma,10,10,40,65,9913.99,-0.86,-10.28,-1.27,2025-07-04T09:31:02.144620
rsi_sma,10,10,40,70,9918.83,-0.81,-10.12,-1.16,2025-07-04T09:31:02.192570
rsi_sma,10,10,35,60,9713.91,-2.86,-21.03,-2.86,2025-07-04T09:31:02.242027
rsi_sma,10,10,35,65,9933.34,-0.67,-12.96,-0.67,2025-07-04T09:31:02.289012
rsi_sma,10,10,35,70,9933.34,-0.67,-12.96,-0.67,2025-07-04T09:31:02.336444
rsi_sma,10,10,30,60,9871.15,-1.29,-15.8,-1.29,2025-07-04T09:31:02.383743
