strategy,rsi_period,sma_period,rsi_buy,rsi_sell,capital_final,total_return,sharpe_ratio,max_drawdown,timestamp
rsi_sma,10,20,40,60,9512.2,-4.88,-4.37,-5.41,2025-07-04T09:40:53.725215
rsi_sma,10,20,40,65,9284.53,-7.15,-4.75,-7.15,2025-07-04T09:40:53.772828
rsi_sma,10,20,40,70,9521.82,-4.78,-3.69,-4.78,2025-07-04T09:40:53.820708
rsi_sma,10,20,35,60,9814.47,-1.86,-2.24,-2.51,2025-07-04T09:40:53.868477
rsi_sma,10,20,35,65,9931.0,-0.69,-3.71,-0.69,2025-07-04T09:40:53.916403
rsi_sma,10,20,35,70,9931.0,-0.69,-3.71,-0.69,2025-07-04T09:40:53.964313
rsi_sma,10,20,30,60,9348.05,-6.52,-4.13,-6.52,2025-07-04T09:40:54.012322
rsi_sma,10,20,30,65,9938.45,-0.62,-3.34,-0.62,2025-07-04T09:40:54.060226
rsi_sma,10,20,30,70,9938.45,-0.62,-3.34,-0.62,2025-07-04T09:40:54.112157
rsi_sma,10,30,40,60,9634.83,-3.65,-6.26,-3.67,2025-07-04T09:40:54.163035
rsi_sma,10,30,40,65,9633.93,-3.66,-5.73,-3.66,2025-07-04T09:40:54.210791
rsi_sma,10,30,40,70,9296.31,-7.04,-3.56,-7.04,2025-07-04T09:40:54.258520
rsi_sma,10,30,35,60,9813.8,-1.86,-3.71,-2.03,2025-07-04T09:40:54.306331
rsi_sma,10,30,35,65,9766.98,-2.33,-4.21,-2.5,2025-07-04T09:40:54.354070
rsi_sma,10,30,35,70,9436.72,-5.63,-2.94,-5.79,2025-07-04T09:40:54.401576
rsi_sma,10,30,30,60,9302.65,-6.97,-4.42,-6.97,2025-07-04T09:40:54.449164
rsi_sma,10,30,30,65,9258.26,-7.42,-4.71,-7.42,2025-07-04T09:40:54.496787
rsi_sma,10,30,30,70,9032.9,-9.67,-4.2,-9.67,2025-07-04T09:40:54.544413
rsi_sma,14,10,40,60,9429.69,-5.7,-2.26,-7.74,2025-07-04T09:40:54.592128
rsi_sma,14,10,40,65,9361.78,-6.38,-2.45,-8.57,2025-07-04T09:40:54.640660
rsi_sma,14,10,40,70,9414.98,-5.85,-2.4,-6.84,2025-07-04T09:40:54.688623
rsi_sma,14,10,35,60,9558.36,-4.42,-2.44,-5.38,2025-07-04T09:40:54.737215
rsi_sma,14,10,35,65,9376.61,-6.23,-3.24,-7.29,2025-07-04T09:40:54.785120
rsi_sma,14,10,35,70,9795.95,-2.04,-0.57,-4.34,2025-07-04T09:40:54.833771
