strategy,macd_short,macd_long,macd_signal,rsi_period,rsi_oversold,rsi_overbought,bb_period,bb_std,volume_threshold,capital_final,total_return,sharpe_ratio,max_drawdown,win_rate,profit_factor,total_trades,avg_win,avg_loss,timestamp
multi_indicator,12,24,9,14,30,70,20,1.8,1.2,9774.25,-2.26,-15.925,-2.26,33.33,2.527,15,2.16,-0.86,2025-07-22T21:29:23.295631
multi_indicator,10,24,9,14,30,75,20,1.8,1.0,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:57.398449
multi_indicator,10,24,9,14,30,75,20,1.8,1.2,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:57.511184
multi_indicator,10,24,9,14,30,75,20,2.0,1.0,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:57.651477
multi_indicator,10,24,9,14,30,75,20,2.0,1.2,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:57.782401
multi_indicator,10,24,9,14,30,70,20,1.8,1.0,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:56.423703
multi_indicator,10,24,9,14,30,70,20,1.8,1.2,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:56.547456
multi_indicator,10,24,9,14,30,70,20,2.0,1.0,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:56.681662
multi_indicator,10,24,9,14,30,70,20,2.0,1.2,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:56.798267
multi_indicator,10,24,9,16,30,75,20,1.8,1.0,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:29:01.234471
multi_indicator,10,24,9,16,30,75,20,1.8,1.2,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:29:01.365922
multi_indicator,10,24,9,16,30,75,20,2.0,1.0,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:29:01.492687
multi_indicator,10,24,9,16,30,75,20,2.0,1.2,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:29:01.606580
multi_indicator,10,24,9,16,30,70,20,1.8,1.0,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:29:00.286475
multi_indicator,10,24,9,16,30,70,20,1.8,1.2,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:29:00.396528
multi_indicator,10,24,9,16,30,70,20,2.0,1.0,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:29:00.519669
multi_indicator,10,24,9,16,30,70,20,2.0,1.2,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:29:00.634284
multi_indicator,10,24,9,14,25,75,20,1.8,1.0,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:55.473143
multi_indicator,10,24,9,14,25,75,20,1.8,1.2,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:55.566696
multi_indicator,10,24,9,14,25,75,20,2.0,1.0,9758.71,-2.41,-16.513,-2.41,31.25,2.626,16,2.16,-0.82,2025-07-22T21:28:55.663475
