ts,symbol,timeframe,strategy,rsi_period,sma_period,rsi_buy,rsi_sell,total_return_pct,sharpe_ratio,max_drawdown_pct
2025-08-22T04:02:01.153452+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T04:17:01.167820+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T04:33:00.494882+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T04:48:00.600859+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T05:03:00.702629+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T05:18:00.717966+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T05:33:59.194813+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T05:48:59.270358+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T06:03:59.306249+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T06:18:59.413232+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T06:34:57.721320+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T06:49:57.797568+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T07:04:57.904727+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T07:19:57.958744+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T07:35:56.013574+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T07:50:56.073696+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T08:05:56.144210+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T08:20:56.238345+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T08:36:53.185859+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T08:51:53.207423+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T09:06:53.310163+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T09:21:53.416944+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T09:37:50.664210+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T09:52:50.767018+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T10:07:50.873001+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T10:22:50.952689+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T10:38:49.599739+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T10:53:49.694090+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
2025-08-22T11:08:49.710131+00:00,BTCUSDC,15m,rsi_sma,21,30,40,70,1.75,1.07,-2.14
